text,source_path,source_name,kind,location,id
the P&R Hub and here: Full engagement plan. The Performance and Results (P&R) Hub will serve as the central repository for all materials related to Technical,/Users/alejandramelgarejo/Cursor/Chatbot - CURSOR - Performance & Results/Latest Updates/Engagement Plan 2025 Technical Reporting.pptx,Engagement Plan 2025 Technical Reporting.pptx,pptx,slide 2 part 4,pptx:Engagement Plan 2025 Technical Reporting.pptx:s2pt4
PRMS,/Users/alejandramelgarejo/Cursor/Chatbot - CURSOR - Performance & Results/Latest Updates/Engagement Plan 2025 Technical Reporting.pptx,Engagement Plan 2025 Technical Reporting.pptx,pptx,slide 3 part 1,pptx:Engagement Plan 2025 Technical Reporting.pptx:s3pt1
enhancements,/Users/alejandramelgarejo/Cursor/Chatbot - CURSOR - Performance & Results/Latest Updates/Engagement Plan 2025 Technical Reporting.pptx,Engagement Plan 2025 Technical Reporting.pptx,pptx,slide 3 part 2,pptx:Engagement Plan 2025 Technical Reporting.pptx:s3pt2
and,/Users/alejandramelgarejo/Cursor/Chatbot - CURSOR - Performance & Results/Latest Updates/Engagement Plan 2025 Technical Reporting.pptx,Engagement Plan 2025 Technical Reporting.pptx,pptx,slide 3 part 3,pptx:Engagement Plan 2025 Technical Reporting.pptx:s3pt3
feedback,/Users/alejandramelgarejo/Cursor/Chatbot - CURSOR - Performance & Results/Latest Updates/Engagement Plan 2025 Technical Reporting.pptx,Engagement Plan 2025 Technical Reporting.pptx,pptx,slide 3 part 4,pptx:Engagement Plan 2025 Technical Reporting.pptx:s3pt4
"Introductory Provisions Application of the Standard Provisions. These Standard Provisions set out the terms governing the use and administration of the portions of the Contributions transferred from the Trust Fund to support the activities of the System Organization and for CGIAR Research. The Standard Provisions are an integral part of: the Funding Agreement or Arrangement between each Funder and the System Organization; the Financial Framework Agreement between the System Organization and each Center with respect to Window 1, 2 and 3 Funds; and",/Users/alejandramelgarejo/Cursor/Chatbot - CURSOR - Performance & Results/Latest Updates/Standard Provisions 2026.docx,Standard Provisions 2026.docx,docx,section 'Introductory Provisions' paragraph 2 to section 'Introductory Provisions' paragraph 5,docx:Standard Provisions 2026.docx:u1-4
"the Financial Framework Agreement between the System Organization and each Center with respect to Window 1, 2 and 3 Funds; and any Window 3 Side Agreement or Arrangement between a Funder and a Center with respect to Window 3 Funds. Interpretation of the Standard Provisions. Unless the context requires otherwise, the terms of these Standard Provisions governing the roles and responsibilities: between Funders and the System Organization apply to each Funding Agreement or Arrangement between a Funder and the System Organization;",/Users/alejandramelgarejo/Cursor/Chatbot - CURSOR - Performance & Results/Latest Updates/Standard Provisions 2026.docx,Standard Provisions 2026.docx,docx,section 'Introductory Provisions' paragraph 5 to section 'Introductory Provisions' paragraph 8,docx:Standard Provisions 2026.docx:u4-7
between Funders and the System Organization apply to each Funding Agreement or Arrangement between a Funder and the System Organization; between the System Organization and each Center apply to the Financial Framework Agreement between the System Organization and each Center; and between a Funder and a Center apply to each Window 3 Side Agreement or Arrangement between a Funder and a Center. Use and administration of the Contributions,/Users/alejandramelgarejo/Cursor/Chatbot - CURSOR - Performance & Results/Latest Updates/Standard Provisions 2026.docx,Standard Provisions 2026.docx,docx,section 'Introductory Provisions' paragraph 8 to section 'Use and administration of the Contributions' paragraph 12,docx:Standard Provisions 2026.docx:u7-10
"Use and administration of the Contributions General Provisions in Respect of the Contributions The Contributions, including the funds, assets and receipts thereof, held in the Trust Fund are administered in accordance with the terms of the CGIAR Trustee Agreement and each Contribution Agreement or Arrangement. In addition to the designation of contributions to the Trust Fund in accordance with the CGIAR Trustee Agreement and the Contribution Agreements or Arrangements, Funders may further designate Window 1 Funds and/or Window 2 Funds for specific purposes at the operational level subject to a decision of the System Council enabling such designations, and in accordance with a procedure for designation of funds at operational",/Users/alejandramelgarejo/Cursor/Chatbot - CURSOR - Performance & Results/Latest Updates/Standard Provisions 2026.docx,Standard Provisions 2026.docx,docx,section 'Use and administration of the Contributions' paragraph 12 to section 'Use and administration of the Contributions' paragraph 15,docx:Standard Provisions 2026.docx:u10-13
"In addition to the designation of contributions to the Trust Fund in accordance with the CGIAR Trustee Agreement and the Contribution Agreements or Arrangements, Funders may further designate Window 1 Funds and/or Window 2 Funds for specific purposes at the operational level subject to a decision of the System Council enabling such designations, and in accordance with a procedure for designation of funds at operational level, as may be adopted from time to time. Responsibilities over Window 1 and Window 2 Funds Disbursement to the System Organization. Window 1 and Window 2 Funds will be disbursed from time to time for the activities of the System Organization (including System Costs) and for CGIAR Research.",/Users/alejandramelgarejo/Cursor/Chatbot - CURSOR - Performance & Results/Latest Updates/Standard Provisions 2026.docx,Standard Provisions 2026.docx,docx,section 'Use and administration of the Contributions' paragraph 15 to section 'Use and administration of the Contributions' paragraph 18,docx:Standard Provisions 2026.docx:u13-16
"Disbursement to the System Organization. Window 1 and Window 2 Funds will be disbursed from time to time for the activities of the System Organization (including System Costs) and for CGIAR Research. Disbursement to Centers. The System Organization may, from time to time, initiate disbursements of Window 1 and Window 2 Funds to a Center for approved CGIAR Programs. Disbursement to a Program Participant. Subject to paragraph 2.4 of the Standard Provisions, Centers receiving Window 1 and Window 2 Funds may make further disbursements of such funds to Program Participants for the relevant CGIAR Program under Subagreements. Fiduciary Responsibility for the Use of Window 1 and Window 2 Funds. The System Organization has fiduciary responsibility toward Funders for the use of Window 1 and Window 2 Funds. Each Center has fiduciary responsibility toward the System Organization for the use of the Window 1 and Window 2 Funds it receives. With respect to the funds for which they have fiduciary responsibility, the System Organization and each Center will, respectively:",/Users/alejandramelgarejo/Cursor/Chatbot - CURSOR - Performance & Results/Latest Updates/Standard Provisions 2026.docx,Standard Provisions 2026.docx,docx,section 'Use and administration of the Contributions' paragraph 18 to section 'Use and administration of the Contributions' paragraph 21,docx:Standard Provisions 2026.docx:u16-19
"Fiduciary Responsibility for the Use of Window 1 and Window 2 Funds. The System Organization has fiduciary responsibility toward Funders for the use of Window 1 and Window 2 Funds. Each Center has fiduciary responsibility toward the System Organization for the use of the Window 1 and Window 2 Funds it receives. With respect to the funds for which they have fiduciary responsibility, the System Organization and each Center will, respectively: ensure that such Window 1 and Window 2 Funds are used exclusively for their intended purposes; ensure that such Window 1 and Window 2 Funds are administered, used and expended in accordance with the CGIAR System Charter, the CGIAR System Framework and the applicable Fund Use Agreements entered into by it, including by taking corrective action with respect to Window 1 and Window 2 Funds not used in accordance with the relevant Fund Use Agreement; and monitor, evaluate, and provide quality assurance and financial and technical reporting for activities funded by Window 1 and Window 2 Funds in accordance with the relevant terms and requirements of these Standard Provisions.",/Users/alejandramelgarejo/Cursor/Chatbot - CURSOR - Performance & Results/Latest Updates/Standard Provisions 2026.docx,Standard Provisions 2026.docx,docx,section 'Use and administration of the Contributions' paragraph 21 to section 'Use and administration of the Contributions' paragraph 24,docx:Standard Provisions 2026.docx:u19-22
"monitor, evaluate, and provide quality assurance and financial and technical reporting for activities funded by Window 1 and Window 2 Funds in accordance with the relevant terms and requirements of these Standard Provisions. Window 3 Funds. Window 3 Funds are directed by Funders to individual Centers. Funders may designate specific amounts to specific Centers for use by the Center; provided such funds are used to implement aspects of the Strategy and Research Framework and provided further that such funds are used in accordance with applicable CGIAR Policies and Procedures. Designations of Window 3 Funds by Funders to Centers are not subject to review, allocation or approval by the System Organization.",/Users/alejandramelgarejo/Cursor/Chatbot - CURSOR - Performance & Results/Latest Updates/Standard Provisions 2026.docx,Standard Provisions 2026.docx,docx,section 'Use and administration of the Contributions' paragraph 24 to section 'Window 3 Funds.' paragraph 27,docx:Standard Provisions 2026.docx:u22-25
"designate specific amounts to specific Centers for use by the Center; provided such funds are used to implement aspects of the Strategy and Research Framework and provided further that such funds are used in accordance with applicable CGIAR Policies and Procedures. Designations of Window 3 Funds by Funders to Centers are not subject to review, allocation or approval by the System Organization. Centers receiving Window 3 Funds are responsible for the use of such funds and will: ensure that Window 3 Funds are used exclusively for their intended purposes; ensure that Window 3 Funds are administered, used and expended in accordance with the applicable Fund Use Agreements entered into by them, including by taking corrective action with respect to those funds not used in accordance with such Fund Use Agreements;",/Users/alejandramelgarejo/Cursor/Chatbot - CURSOR - Performance & Results/Latest Updates/Standard Provisions 2026.docx,Standard Provisions 2026.docx,docx,section 'Window 3 Funds.' paragraph 27 to section 'Window 3 Funds.' paragraph 30,docx:Standard Provisions 2026.docx:u25-28
"ensure that Window 3 Funds are administered, used and expended in accordance with the applicable Fund Use Agreements entered into by them, including by taking corrective action with respect to those funds not used in accordance with such Fund Use Agreements; monitor, evaluate as applicable, and provide quality assurance and financial and technical reporting for activities funded by Window 3 Funds in accordance with the relevant terms of these Standard Provisions; and if the Window 3 Funds are mapped to a CGIAR Program (i.e. provided for CGIAR Research activities that are aligned to the CGIAR Program's high-level outcomes and theory of change), continuously inform the System Organization and the project management unit of such CGIAR Program of the receipt of any Window 3 Funds and their use. The System Organization will not have fiduciary or programmatic responsibility over, or responsibility to supervise or monitor, Window 3 Funds.",/Users/alejandramelgarejo/Cursor/Chatbot - CURSOR - Performance & Results/Latest Updates/Standard Provisions 2026.docx,Standard Provisions 2026.docx,docx,section 'Window 3 Funds.' paragraph 30 to section 'Window 3 Funds.' paragraph 33,docx:Standard Provisions 2026.docx:u28-31
"The System Organization will not have fiduciary or programmatic responsibility over, or responsibility to supervise or monitor, Window 3 Funds. The System Organization may, however: upon request of a Funder providing Window 3 Funds and acting through the System Council, take corrective action vis-â-vis a Center in the event such Window 3 Funds are not used in accordance with any applicable Fund Use Agreement entered into by such Center; or in consultation with the relevant Funder providing Window 3 Funds and the System Council, take corrective action vis-â-vis a Center in the event such",/Users/alejandramelgarejo/Cursor/Chatbot - CURSOR - Performance & Results/Latest Updates/Standard Provisions 2026.docx,Standard Provisions 2026.docx,docx,section 'Window 3 Funds.' paragraph 33 to section 'Window 3 Funds.' paragraph 36,docx:Standard Provisions 2026.docx:u31-34
"in consultation with the relevant Funder providing Window 3 Funds and the System Council, take corrective action vis-â-vis a Center in the event such Window 3 Funds are not used in accordance with any applicable Fund Use Agreement entered into by such Center. Window 3 Side Agreements or Arrangements. Nothing in the Funding Agreements or Arrangements is intended to preclude Funders and Centers from entering into Window 3 Side Agreements or Arrangements in regard to the terms governing the administration and use of Window 3 Funds. Funders may choose to make a Contribution to a Center through Window 3 without entering into a Window 3 Side Agreement or Arrangement, provided that such Contribution is made without any additional conditions attached to it. Any Window 3 Side Agreement or Arrangement will be consistent with these Standard Provisions and substantially in the form of Schedule 1 (Form of Window 3 Side Agreement or Arrangement) attached to these Standard Provisions, as may be amended from time to time. Program Participants. In engaging a Program Participant with respect to Window 1, 2 and 3 Funds, Centers will incorporate in the relevant Subagreements, and cause, and monitor, compliance with the obligations set out in the Standard Provisions, including but not limited to those set out in paragraphs 2.5-2.6, 4-6, 7.2.2, 7.1.3, 7.3.2, 8.3, 8.4.4,",/Users/alejandramelgarejo/Cursor/Chatbot - CURSOR - Performance & Results/Latest Updates/Standard Provisions 2026.docx,Standard Provisions 2026.docx,docx,section 'Window 3 Funds.' paragraph 36 to section 'Window 3 Funds.' paragraph 39,docx:Standard Provisions 2026.docx:u34-37
"Program Participants. In engaging a Program Participant with respect to Window 1, 2 and 3 Funds, Centers will incorporate in the relevant Subagreements, and cause, and monitor, compliance with the obligations set out in the Standard Provisions, including but not limited to those set out in paragraphs 2.5-2.6, 4-6, 7.2.2, 7.1.3, 7.3.2, 8.3, 8.4.4, 9.1.1, 9.1.2, 9.2-9.4 and 13-15. Due Diligence. Each Center will conduct due diligence and review of the CGIAR System Partners to which it is disbursing funding from the Window 1, 2 and 3 Funds to the extent deemed necessary or appropriate by such Center. Cooperation. Centers will cooperate with the System Organization in order for the System Organization to fulfill its obligations under the relevant Fund Use Agreements.",/Users/alejandramelgarejo/Cursor/Chatbot - CURSOR - Performance & Results/Latest Updates/Standard Provisions 2026.docx,Standard Provisions 2026.docx,docx,section 'Window 3 Funds.' paragraph 39 to section 'Window 3 Funds.' paragraph 42,docx:Standard Provisions 2026.docx:u37-40
Cooperation. Centers will cooperate with the System Organization in order for the System Organization to fulfill its obligations under the relevant Fund Use Agreements. Cost Sharing Percentage Bilateral Funding The Cost Sharing Percentage or CSP will be collected by the System Organization in accordance with applicable CGIAR Policies and Procedures on System Costs financing.,/Users/alejandramelgarejo/Cursor/Chatbot - CURSOR - Performance & Results/Latest Updates/Standard Provisions 2026.docx,Standard Provisions 2026.docx,docx,section 'Window 3 Funds.' paragraph 42 to section 'Cost Sharing Percentage' paragraph 46,docx:Standard Provisions 2026.docx:u40-43
